Subject,GroupCode,GroupLabel,FactorA,FactorA_Label,FactorB,FactorB_Label,Interaction
95,3,A+ B+,1,A+,1,B+,1
96,3,A+ B+,1,A+,1,B+,1
97,3,A+ B+,1,A+,1,B+,1
98,3,A+ B+,1,A+,1,B+,1
99,3,A+ B+,1,A+,1,B+,1
100,3,A+ B+,1,A+,1,B+,1
101,3,A+ B+,1,A+,1,B+,1
102,3,A+ B+,1,A+,1,B+,1
103,3,A+ B+,1,A+,1,B+,1
104,3,A+ B+,1,A+,1,B+,1
105,3,A+ B+,1,A+,1,B+,1
106,3,A+ B+,1,A+,1,B+,1
107,3,A+ B+,1,A+,1,B+,1
108,3,A+ B+,1,A+,1,B+,1
109,3,A+ B+,1,A+,1,B+,1
110,3,A+ B+,1,A+,1,B+,1
111,3,A+ B+,1,A+,1,B+,1
112,3,A+ B+,1,A+,1,B+,1
113,3,A+ B+,1,A+,1,B+,1
114,3,A+ B+,1,A+,1,B+,1
115,3,A+ B+,1,A+,1,B+,1
116,3,A+ B+,1,A+,1,B+,1
117,3,A+ B+,1,A+,1,B+,1
118,3,A+ B+,1,A+,1,B+,1
119,3,A+ B+,1,A+,1,B+,1
120,3,A+ B+,1,A+,1,B+,1
