Subject,Item,Condition,ConditionCode
9,16,Control,-1
9,16,Treatment,1
9,17,Control,-1
9,17,Treatment,1
9,18,Control,-1
9,18,Treatment,1
9,19,Control,-1
9,19,Treatment,1
9,20,Control,-1
9,20,Treatment,1
10,1,Control,-1
10,1,Treatment,1
10,2,Control,-1
10,2,Treatment,1
10,3,Control,-1
10,3,Treatment,1
10,4,Control,-1
10,4,Treatment,1
10,5,Control,-1
10,5,Treatment,1
10,6,Control,-1
10,6,Treatment,1
10,7,Control,-1
10,7,Treatment,1
10,8,Control,-1
10,8,Treatment,1
10,9,Control,-1
10,9,Treatment,1
10,10,Control,-1
10,10,Treatment,1
10,11,Control,-1
10,11,Treatment,1
10,12,Control,-1
10,12,Treatment,1
10,13,Control,-1
10,13,Treatment,1
10,14,Control,-1
10,14,Treatment,1
10,15,Control,-1
10,15,Treatment,1
10,16,Control,-1
10,16,Treatment,1
10,17,Control,-1
10,17,Treatment,1
10,18,Control,-1
10,18,Treatment,1
10,19,Control,-1
10,19,Treatment,1
10,20,Control,-1
10,20,Treatment,1
11,1,Control,-1
11,1,Treatment,1
11,2,Control,-1
11,2,Treatment,1
11,3,Control,-1
11,3,Treatment,1
11,4,Control,-1
11,4,Treatment,1
11,5,Control,-1
11,5,Treatment,1
11,6,Control,-1
11,6,Treatment,1
11,7,Control,-1
11,7,Treatment,1
11,8,Control,-1
11,8,Treatment,1
11,9,Control,-1
11,9,Treatment,1
11,10,Control,-1
11,10,Treatment,1
11,11,Control,-1
11,11,Treatment,1
11,12,Control,-1
11,12,Treatment,1
11,13,Control,-1
11,13,Treatment,1
11,14,Control,-1
11,14,Treatment,1
11,15,Control,-1
11,15,Treatment,1
11,16,Control,-1
11,16,Treatment,1
11,17,Control,-1
11,17,Treatment,1
11,18,Control,-1
11,18,Treatment,1
11,19,Control,-1
11,19,Treatment,1
11,20,Control,-1
11,20,Treatment,1
12,1,Control,-1
12,1,Treatment,1
12,2,Control,-1
12,2,Treatment,1
12,3,Control,-1
12,3,Treatment,1
12,4,Control,-1
12,4,Treatment,1
12,5,Control,-1
12,5,Treatment,1
12,6,Control,-1
12,6,Treatment,1
12,7,Control,-1
12,7,Treatment,1
12,8,Control,-1
12,8,Treatment,1
12,9,Control,-1
12,9,Treatment,1
12,10,Control,-1
12,10,Treatment,1
12,11,Control,-1
12,11,Treatment,1
12,12,Control,-1
12,12,Treatment,1
12,13,Control,-1
12,13,Treatment,1
12,14,Control,-1
12,14,Treatment,1
12,15,Control,-1
12,15,Treatment,1
12,16,Control,-1
12,16,Treatment,1
12,17,Control,-1
12,17,Treatment,1
12,18,Control,-1
12,18,Treatment,1
12,19,Control,-1
12,19,Treatment,1
12,20,Control,-1
12,20,Treatment,1
13,1,Control,-1
13,1,Treatment,1
13,2,Control,-1
13,2,Treatment,1
13,3,Control,-1
13,3,Treatment,1
13,4,Control,-1
13,4,Treatment,1
13,5,Control,-1
13,5,Treatment,1
13,6,Control,-1
13,6,Treatment,1
13,7,Control,-1
13,7,Treatment,1
13,8,Control,-1
13,8,Treatment,1
13,9,Control,-1
13,9,Treatment,1
13,10,Control,-1
13,10,Treatment,1
13,11,Control,-1
13,11,Treatment,1
13,12,Control,-1
13,12,Treatment,1
13,13,Control,-1
13,13,Treatment,1
13,14,Control,-1
13,14,Treatment,1
13,15,Control,-1
13,15,Treatment,1
13,16,Control,-1
13,16,Treatment,1
13,17,Control,-1
13,17,Treatment,1
13,18,Control,-1
13,18,Treatment,1
13,19,Control,-1
13,19,Treatment,1
13,20,Control,-1
13,20,Treatment,1
14,1,Control,-1
14,1,Treatment,1
14,2,Control,-1
14,2,Treatment,1
14,3,Control,-1
14,3,Treatment,1
14,4,Control,-1
14,4,Treatment,1
14,5,Control,-1
14,5,Treatment,1
14,6,Control,-1
14,6,Treatment,1
14,7,Control,-1
14,7,Treatment,1
14,8,Control,-1
14,8,Treatment,1
14,9,Control,-1
14,9,Treatment,1
14,10,Control,-1
14,10,Treatment,1
14,11,Control,-1
14,11,Treatment,1
14,12,Control,-1
14,12,Treatment,1
14,13,Control,-1
14,13,Treatment,1
14,14,Control,-1
14,14,Treatment,1
14,15,Control,-1
14,15,Treatment,1
14,16,Control,-1
14,16,Treatment,1
14,17,Control,-1
14,17,Treatment,1
14,18,Control,-1
14,18,Treatment,1
14,19,Control,-1
14,19,Treatment,1
14,20,Control,-1
14,20,Treatment,1
15,1,Control,-1
15,1,Treatment,1
15,2,Control,-1
15,2,Treatment,1
15,3,Control,-1
15,3,Treatment,1
15,4,Control,-1
15,4,Treatment,1
15,5,Control,-1
15,5,Treatment,1
15,6,Control,-1
15,6,Treatment,1
15,7,Control,-1
15,7,Treatment,1
15,8,Control,-1
15,8,Treatment,1
15,9,Control,-1
15,9,Treatment,1
15,10,Control,-1
15,10,Treatment,1
15,11,Control,-1
15,11,Treatment,1
15,12,Control,-1
15,12,Treatment,1
15,13,Control,-1
15,13,Treatment,1
15,14,Control,-1
15,14,Treatment,1
15,15,Control,-1
15,15,Treatment,1
15,16,Control,-1
15,16,Treatment,1
15,17,Control,-1
15,17,Treatment,1
15,18,Control,-1
15,18,Treatment,1
15,19,Control,-1
15,19,Treatment,1
15,20,Control,-1
15,20,Treatment,1
16,1,Control,-1
16,1,Treatment,1
16,2,Control,-1
16,2,Treatment,1
16,3,Control,-1
16,3,Treatment,1
16,4,Control,-1
16,4,Treatment,1
16,5,Control,-1
16,5,Treatment,1
16,6,Control,-1
16,6,Treatment,1
16,7,Control,-1
16,7,Treatment,1
16,8,Control,-1
16,8,Treatment,1
16,9,Control,-1
16,9,Treatment,1
16,10,Control,-1
16,10,Treatment,1
16,11,Control,-1
16,11,Treatment,1
16,12,Control,-1
16,12,Treatment,1
16,13,Control,-1
16,13,Treatment,1
16,14,Control,-1
16,14,Treatment,1
16,15,Control,-1
16,15,Treatment,1
16,16,Control,-1
16,16,Treatment,1
16,17,Control,-1
16,17,Treatment,1
16,18,Control,-1
16,18,Treatment,1
16,19,Control,-1
16,19,Treatment,1
16,20,Control,-1
16,20,Treatment,1
17,1,Control,-1
17,1,Treatment,1
17,2,Control,-1
17,2,Treatment,1
17,3,Control,-1
17,3,Treatment,1
17,4,Control,-1
17,4,Treatment,1
17,5,Control,-1
17,5,Treatment,1
17,6,Control,-1
17,6,Treatment,1
17,7,Control,-1
17,7,Treatment,1
17,8,Control,-1
17,8,Treatment,1
17,9,Control,-1
17,9,Treatment,1
17,10,Control,-1
17,10,Treatment,1
17,11,Control,-1
17,11,Treatment,1
17,12,Control,-1
17,12,Treatment,1
17,13,Control,-1
17,13,Treatment,1
17,14,Control,-1
17,14,Treatment,1
17,15,Control,-1
17,15,Treatment,1
17,16,Control,-1
17,16,Treatment,1
17,17,Control,-1
17,17,Treatment,1
17,18,Control,-1
17,18,Treatment,1
17,19,Control,-1
17,19,Treatment,1
17,20,Control,-1
17,20,Treatment,1
18,1,Control,-1
18,1,Treatment,1
18,2,Control,-1
18,2,Treatment,1
18,3,Control,-1
18,3,Treatment,1
18,4,Control,-1
18,4,Treatment,1
18,5,Control,-1
18,5,Treatment,1
18,6,Control,-1
18,6,Treatment,1
18,7,Control,-1
18,7,Treatment,1
18,8,Control,-1
18,8,Treatment,1
18,9,Control,-1
18,9,Treatment,1
18,10,Control,-1
18,10,Treatment,1
18,11,Control,-1
18,11,Treatment,1
18,12,Control,-1
18,12,Treatment,1
18,13,Control,-1
18,13,Treatment,1
18,14,Control,-1
18,14,Treatment,1
18,15,Control,-1
18,15,Treatment,1
18,16,Control,-1
18,16,Treatment,1
18,17,Control,-1
18,17,Treatment,1
18,18,Control,-1
18,18,Treatment,1
18,19,Control,-1
18,19,Treatment,1
18,20,Control,-1
18,20,Treatment,1
19,1,Control,-1
19,1,Treatment,1
19,2,Control,-1
19,2,Treatment,1
19,3,Control,-1
19,3,Treatment,1
19,4,Control,-1
19,4,Treatment,1
19,5,Control,-1
19,5,Treatment,1
19,6,Control,-1
19,6,Treatment,1
19,7,Control,-1
19,7,Treatment,1
19,8,Control,-1
19,8,Treatment,1
19,9,Control,-1
19,9,Treatment,1
19,10,Control,-1
19,10,Treatment,1
19,11,Control,-1
19,11,Treatment,1
19,12,Control,-1
19,12,Treatment,1
19,13,Control,-1
19,13,Treatment,1
19,14,Control,-1
19,14,Treatment,1
19,15,Control,-1
19,15,Treatment,1
19,16,Control,-1
19,16,Treatment,1
19,17,Control,-1
19,17,Treatment,1
19,18,Control,-1
19,18,Treatment,1
19,19,Control,-1
19,19,Treatment,1
19,20,Control,-1
19,20,Treatment,1
20,1,Control,-1
20,1,Treatment,1
20,2,Control,-1
20,2,Treatment,1
20,3,Control,-1
20,3,Treatment,1
20,4,Control,-1
20,4,Treatment,1
20,5,Control,-1
20,5,Treatment,1
20,6,Control,-1
20,6,Treatment,1
20,7,Control,-1
20,7,Treatment,1
20,8,Control,-1
20,8,Treatment,1
20,9,Control,-1
20,9,Treatment,1
20,10,Control,-1
20,10,Treatment,1
20,11,Control,-1
20,11,Treatment,1
20,12,Control,-1
20,12,Treatment,1
20,13,Control,-1
20,13,Treatment,1
20,14,Control,-1
20,14,Treatment,1
20,15,Control,-1
20,15,Treatment,1
20,16,Control,-1
20,16,Treatment,1
20,17,Control,-1
20,17,Treatment,1
20,18,Control,-1
20,18,Treatment,1
20,19,Control,-1
20,19,Treatment,1
20,20,Control,-1
20,20,Treatment,1
